country,year,points
Serbia   ,2013,88
Serbia   ,2014,86
Slovakia ,2008,87
Slovenia ,-1,87
Slovenia ,2004,91
Slovenia ,2006,90
Slovenia ,2007,90
Slovenia ,2008,88
Slovenia ,2009,87
Slovenia ,2010,87
Slovenia ,2011,88
Slovenia ,2012,87
Slovenia ,2013,88
Slovenia ,2014,87
Slovenia ,2015,90
South Afr,-1,85
South Afr,1870,85
South Afr,1995,87
South Afr,1996,84
South Afr,1997,86
South Afr,1998,86
South Afr,1999,86
South Afr,2000,87
South Afr,2001,86
South Afr,2002,87
South Afr,2003,88
South Afr,2004,88
South Afr,2005,87
South Afr,2006,87
South Afr,2007,87
South Afr,2008,87
South Afr,2009,87
South Afr,2010,87
South Afr,2011,87
South Afr,2012,89
South Afr,2013,89
South Afr,2014,89
South Afr,2015,88
South Afr,2016,89
Spain    ,-1,86
Spain    ,1827,92
Spain    ,1847,92
Spain    ,1872,85
Spain    ,1882,87
Spain    ,1887,83
Spain    ,1898,86
Spain    ,1919,88
Spain    ,1927,95
Spain    ,1947,93
Spain    ,1978,83
Spain    ,1985,89
Spain    ,1986,92
Spain    ,1994,86
Spain    ,1995,86
Spain    ,1996,87
Spain    ,1997,84
Spain    ,1998,87
Spain    ,1999,86
Spain    ,2000,85
Spain    ,2001,88
Spain    ,2002,86
Spain    ,2003,87
Spain    ,2004,87
Spain    ,2005,87
Spain    ,2006,87
Spain    ,2007,87
Spain    ,2008,86
Spain    ,2009,87
Spain    ,2010,87
Spain    ,2011,87
Spain    ,2012,87
Spain    ,2013,86
Spain    ,2014,86
Spain    ,2015,86
Spain    ,2016,86
Switzerla,2004,83
Switzerla,2011,89
Switzerla,2012,89
Turkey   ,2006,86
Turkey   ,2007,88
Turkey   ,2008,88
Turkey   ,2009,89
Turkey   ,2010,88
Turkey   ,2011,89
Turkey   ,2012,88
Turkey   ,2013,88
Turkey   ,2014,87
Turkey   ,2015,85
Ukraine  ,-1,84
Ukraine  ,2008,83
Ukraine  ,2014,84
Uruguay  ,-1,91
Uruguay  ,2004,90
Uruguay  ,2005,87
Uruguay  ,2006,88
Uruguay  ,2007,85
Uruguay  ,2008,85
Uruguay  ,2009,86
Uruguay  ,2010,86
Uruguay  ,2011,86
Uruguay  ,2012,86
Uruguay  ,2013,87
Uruguay  ,2014,85
Uruguay  ,2015,87
Uruguay  ,2016,85
Uruguay  ,2017,91
US       ,-1,86
US       ,1840,91
US       ,1850,89
US       ,1852,87
US       ,1856,85
US       ,1985,86
US       ,1986,86
US       ,1987,89
US       ,1989,86
US       ,1990,88
US       ,1991,90
US       ,1992,89
US       ,1993,89
US       ,1994,88
US       ,1995,88
US       ,1996,88
US       ,1997,89
US       ,1998,87
US       ,1999,87
US       ,2000,87
US       ,2001,87
US       ,2002,86
US       ,2003,87
US       ,2004,87
US       ,2005,87
US       ,2006,87
US       ,2007,87
US       ,2008,88
US       ,2009,88
US       ,2010,88
US       ,2011,88
US       ,2012,88
US       ,2013,89
US       ,2014,89
US       ,2015,89
US       ,2016,88
