variety;year;price
Blaufränkisch            ;2007;16.4444444444
Blaufränkisch            ;2008;49.25
Blaufränkisch            ;2009;30.5555555556
Blaufränkisch            ;2010;37.4285714286
Blaufränkisch            ;2011;39.4285714286
Blaufränkisch            ;2012;40.3428571429
Blaufränkisch            ;2013;35.0277777778
Blaufränkisch            ;2014;24.8571428571
Blaufränkisch            ;2015;19.5454545455
Blaufränkisch            ;2016;19.0
Bobal                     ;-1;46.0
Bobal                     ;2003;14.0
Bobal                     ;2004;20.0
Bobal                     ;2009;13.0
Bobal                     ;2010;13.0
Bobal                     ;2011;57.5
Bobal                     ;2012;18.75
Bobal                     ;2013;15.5
Bobal                     ;2014;12.75
Bobal                     ;2015;13.0
Bobal-Cabernet Sauvignon  ;2015;9.0
Bombino Bianco            ;2009;
Bombino Bianco            ;2011;30.0
Bombino Nero              ;2007;11.0
Bonarda                   ;2005;12.0
Bonarda                   ;2006;13.75
Bonarda                   ;2007;13.1111111111
Bonarda                   ;2008;15.4
Bonarda                   ;2009;14.9166666667
Bonarda                   ;2010;17.3076923077
Bonarda                   ;2011;16.3333333333
Bonarda                   ;2012;18.8235294118
Bonarda                   ;2013;20.1111111111
Bonarda                   ;2014;18.1666666667
Bonarda                   ;2015;15.8
Bonarda                   ;2016;14.0
Bordeaux-style Red Blend  ;-1;33.5
Bordeaux-style Red Blend  ;1840;75.0
Bordeaux-style Red Blend  ;1856;36.0
Bordeaux-style Red Blend  ;1994;21.0
Bordeaux-style Red Blend  ;1995;15.0
Bordeaux-style Red Blend  ;1996;35.0
Bordeaux-style Red Blend  ;1997;58.36
Bordeaux-style Red Blend  ;1998;40.2307692308
Bordeaux-style Red Blend  ;1999;37.1111111111
Bordeaux-style Red Blend  ;2000;63.2926829268
Bordeaux-style Red Blend  ;2001;45.25
Bordeaux-style Red Blend  ;2002;24.3333333333
Bordeaux-style Red Blend  ;2003;50.8918918919
Bordeaux-style Red Blend  ;2004;52.3939393939
Bordeaux-style Red Blend  ;2005;58.0636942675
Bordeaux-style Red Blend  ;2006;55.1279069767
Bordeaux-style Red Blend  ;2007;67.735042735
Bordeaux-style Red Blend  ;2008;54.3711790393
Bordeaux-style Red Blend  ;2009;68.4328703704
Bordeaux-style Red Blend  ;2010;47.0129449838
Bordeaux-style Red Blend  ;2011;42.4595419847
Bordeaux-style Red Blend  ;2012;40.4296675192
Bordeaux-style Red Blend  ;2013;53.5499153976
Bordeaux-style Red Blend  ;2014;42.3380614657
Bordeaux-style Red Blend  ;2015;20.5740740741
Bordeaux-style Red Blend  ;2016;18.7826086957
Bordeaux-style White Blend;1998;8.5
Bordeaux-style White Blend;1999;10.0
Bordeaux-style White Blend;2000;15.0
Bordeaux-style White Blend;2001;9.0
Bordeaux-style White Blend;2003;25.0
Bordeaux-style White Blend;2004;
Bordeaux-style White Blend;2005;93.2666666667
Bordeaux-style White Blend;2006;21.5625
Bordeaux-style White Blend;2007;67.5135135135
Bordeaux-style White Blend;2008;27.3846153846
Bordeaux-style White Blend;2009;78.6363636364
Bordeaux-style White Blend;2010;31.2407407407
Bordeaux-style White Blend;2011;27.3103448276
Bordeaux-style White Blend;2012;22.325
Bordeaux-style White Blend;2013;52.4235294118
Bordeaux-style White Blend;2014;38.7058823529
Bordeaux-style White Blend;2015;17.6176470588
Bordeaux-style White Blend;2016;15.6052631579
Bovale                    ;2008;30.0
Bovale                    ;2009;30.0
Bovale                    ;2011;30.0
Boğazkere                ;2010;33.0
Boğazkere                ;2011;30.0
Boğazkere                ;2014;20.0
Brachetto                 ;-1;14.8333333333
Brachetto                 ;2007;22.0
Brachetto                 ;2008;17.0
Brachetto                 ;2009;27.0
Brachetto                 ;2010;18.0
Brachetto                 ;2011;18.8
Braucol                   ;2012;27.0
Braucol                   ;2013;40.0
Braucol                   ;2014;29.0
Braucol                   ;2016;12.0
Bual                      ;1969;230.0
Bual                      ;1987;194.0
Bual                      ;1995;
Bual                      ;2002;50.0
Bual                      ;2003;50.0
Bual                      ;2005;42.0
Bual                      ;2008;34.0
Cabernet                  ;2006;
Cabernet                  ;2007;13.0
Cabernet                  ;2008;19.0
Cabernet                  ;2011;13.0
Cabernet                  ;2012;20.25
Cabernet                  ;2013;12.0
Cabernet Blend            ;1998;49.3333333333
Cabernet Blend            ;1999;56.0
Cabernet Blend            ;2000;26.5
Cabernet Blend            ;2002;9.0
Cabernet Blend            ;2003;97.0
Cabernet Blend            ;2004;48.0
Cabernet Blend            ;2005;29.0
Cabernet Blend            ;2006;62.8333333333
Cabernet Blend            ;2007;27.625
Cabernet Blend            ;2008;63.4285714286
Cabernet Blend            ;2009;38.6
Cabernet Blend            ;2010;41.5
Cabernet Blend            ;2011;84.0
Cabernet Blend            ;2012;59.8333333333
Cabernet Blend            ;2013;75.0
Cabernet Blend            ;2014;24.3333333333
Cabernet Franc            ;-1;21.1428571429
Cabernet Franc            ;1852;23.0
Cabernet Franc            ;1997;23.0
Cabernet Franc            ;1998;15.0
Cabernet Franc            ;1999;23.5714285714
Cabernet Franc            ;2000;21.6666666667
Cabernet Franc            ;2001;25.0
Cabernet Franc            ;2003;45.2
Cabernet Franc            ;2004;44.96
Cabernet Franc            ;2005;36.8181818182
Cabernet Franc            ;2006;34.0212765957
Cabernet Franc            ;2007;31.9295774648
Cabernet Franc            ;2008;38.6833333333
Cabernet Franc            ;2009;34.5111111111
Cabernet Franc            ;2010;35.4540540541
Cabernet Franc            ;2011;39.3543307087
Cabernet Franc            ;2012;36.0217391304
Cabernet Franc            ;2013;35.5258215962
Cabernet Franc            ;2014;33.4404761905
Cabernet Franc            ;2015;24.0909090909
Cabernet Franc            ;2016;21.0
