winery,avg_score
Alma Rosa                      ,90.02
Alma Sol                       ,87.0
Almacruz                       ,83.0
AlmaTerra                      ,90.0
Almaviva                       ,93.0
Almez                          ,84.5
Almira                         ,86.5
Almquist                       ,87.1034482759
Aloft                          ,94.0
Alois                          ,88.5
Alois Lageder                  ,89.3
Aloja                          ,88.0
Alonso del Yerro               ,89.0
Alouette                       ,86.0
Alpamanta                      ,85.2
Alpasión                       ,90.3333333333
Alpataco                       ,85.2857142857
Alpha Crucis                   ,90.6666666667
Alpha Estate                   ,87.5882352941
Alpha Loire                    ,85.0
Alpha Omega                    ,92.1351351351
Alpha Zeta                     ,90.0
Alphart                        ,88.5
Alphonse Mellot                ,92.0
Alta                           ,88.1111111111
Alta Alella                    ,88.9069767442
Alta Cima                      ,87.0
Alta Colina                    ,90.2631578947
Alta Delta                     ,83.0
Alta Luna                      ,87.5
Alta Maria                     ,89.8823529412
Alta Pavina                    ,90.0
Alta Vista                     ,89.0512820513
Altadonna                      ,86.6
Altamana                       ,87.6666666667
Altamira                       ,89.0
Altamura                       ,87.0
Altanuta                       ,87.0
Altanza                        ,86.0
Altas Quintas                  ,89.3333333333
Altavia                        ,85.0
Altavins                       ,86.8333333333
Altaïr                         ,90.75
Altemasi                       ,89.1
Alter Ego de Palmer            ,89.0
Alterra                        ,82.0
Altesino                       ,90.8181818182
Althe'a                        ,87.0
Althéa                         ,87.6666666667
Alto 3                         ,84.0
Alto Cinco                     ,83.0
Alto de la Ballena             ,87.5
Alto Los Romeros               ,86.24
Alto Moncayo                   ,90.9090909091
Alto Roble                     ,83.5
Altocedro                      ,87.9677419355
Altolandon                     ,86.0
Altoona Hills                  ,81.0
Altos de Cristimil             ,84.5
Altos de San Isidro            ,85.0
Altos de Sueño                 ,83.0
Altos de Torona                ,82.0
Altos del Cuco                 ,87.0
Altos del Marqués              ,90.0
Altos del Terral               ,92.3333333333
Altos Las Hormigas             ,87.6666666667
Altozano                       ,84.0
Altvs                          ,90.8571428571
Altùris                        ,86.5
Aluvé                          ,89.5
Alvarez de Toledo              ,88.75
Alvaro Castro                  ,92.7142857143
Alvaro Palacios                ,90.0
Alvear                         ,90.6923076923
Alves de Sousa                 ,90.8
Alvinte                        ,87.0
Alyris                         ,90.0
Alysian                        ,87.6666666667
Alzania                        ,86.0
Alzinger                       ,93.0
Além                           ,81.0
Amaboko                        ,85.0
Amador Cellars                 ,88.0
Amador Foothill Winery         ,87.0
Amador Garcia                  ,93.0
Amadores                       ,82.0
Amalaya                        ,86.2
Amalia                         ,89.7777777778
Amalie Robert                  ,88.9811320755
Amantis                        ,91.4285714286
Amapola Creek                  ,89.75
Amaral                         ,86.0
Amarano                        ,89.0
Amaro Vineyard                 ,90.0
Amastuola                      ,89.0
Amathia                        ,86.0
Amatore                        ,85.0
Amavi                          ,90.3
Amayna                         ,83.6
Ambasciata del  Buon Vino      ,87.0
Ambassador Vineyard            ,88.2962962963
Amberhill                      ,82.5
Ambiente                       ,82.0
Ambition                       ,86.0
Ambo Secco                     ,87.3333333333
Ambrogio e Giovanni Folonari   ,88.0
Ambrose                        ,83.0
Ambrosini Lorella              ,89.0
AmByth                         ,86.0
Amelle                         ,87.0
American Roots                 ,85.0
American Thread                ,91.0
Amici                          ,89.5384615385
Amicus by X Winery             ,87.3333333333
Amiran Vepkhvadze              ,90.0
Amisfield                      ,89.4444444444
Amista                         ,87.0
Amity                          ,87.5789473684
Amity Vineyards                ,88.0
Amizade                        ,84.0
Amizetta                       ,88.6666666667
Ammunition                     ,88.5
Amor Fati                      ,91.0
Amore di Amanti                ,84.0
Amos Cellars                   ,92.0
Ampelos                        ,88.4411764706
Amphora                        ,88.0
Amuse Bouche                   ,95.0
Amézola                        ,88.0
An Approach to Relaxation      ,89.0
Anaba                          ,89.375
Anakena                        ,86.1818181818
Anakota                        ,93.0
Analemma                       ,89.5555555556
Analivia                       ,86.25
Anam Cara                      ,89.1388888889
Anapamu                        ,86.6666666667
Anatomy                        ,82.0
Ancestrale                     ,92.0
Ancestry                       ,88.4545454545
Anciano                        ,85.5
Ancien                         ,89.1666666667
Ancient Cellars                ,86.8333333333
Ancient Oak Cellars            ,87.3333333333
Ancient Peaks                  ,88.1063829787
Ancient Roots                  ,89.0
Ancilla                        ,88.75
Andean                         ,85.25
Andean Sky                     ,86.0
Andeluna                       ,86.693877551
Andes Grapes                   ,88.0
Andes Plateau                  ,89.0
Andis                          ,88.725
Andre et Mireille Tissot       ,89.0
Andrea Felici                  ,90.5
Andrea Oberto                  ,91.6
Andreola                       ,88.3125
Andreola Orsola                ,86.875
Andrero                        ,85.0
Andresen                       ,89.5
Andretti                       ,86.125
Andrew Hardy                   ,91.0
Andrew Harris                  ,88.0
Andrew Januik                  ,90.8333333333
Andrew Murray                  ,89.5
Andrew Peace                   ,84.3333333333
Andrew Rich                    ,89.7619047619
Andrew Will                    ,91.8064516129
Andriano                       ,89.1538461538
Andrieux & Fils                ,86.3333333333
Andrus                         ,94.0
André Blanck et ses Fils       ,88.75
André Brunel                   ,89.0588235294
André Guichot                  ,85.8
André Kientzler                ,89.652173913
Anecoop                        ,83.5
Anemoi                         ,85.125
Anew                           ,87.0
Angel Camp                     ,92.0
Angel Juice                    ,83.0
Angel Vine                     ,89.25
Angel's Cup                    ,86.0
Angel's Secret                 ,86.0
Angela Estate                  ,91.5
Angeli di Varano               ,86.0
Angeline                       ,85.7083333333
Angelini                       ,84.3333333333
Angelo Bortolin                ,87.0
Angelo Cellars                 ,88.6
Angelo Negro & Figli           ,88.5
Angels & Cowboys               ,87.5
Angerhof Tschida               ,93.0
Anglim                         ,90.0625
Angosto                        ,86.6363636364
Angove                         ,91.1666666667
Angove's                       ,84.2857142857
Angry Bunch                    ,86.0
Angulo Innocenti               ,86.8333333333
Angus The Bull                 ,86.0
Aniello                        ,86.2857142857
