winery,avg_score
Antale                         ,87.0
Anterra                        ,85.0
Anthony Nappa                  ,89.5
Anthony Road                   ,87.0769230769
Anthropology                   ,86.0
Antica Casa Vinicola Scarpa    ,88.0
Antica Corte                   ,83.75
Antica Enotria                 ,86.6666666667
Antica Hirpinia                ,86.4
Antichi Vigneti di Cantalupo   ,90.0
Antichi Vinai 1877             ,88.0
Antico Borgo di Sugame         ,87.0
Antico Colle                   ,87.25
Antier                         ,84.0
Antigal                        ,86.6666666667
Antigua Bodega                 ,81.0
Antigua Bodega Stagnari        ,86.6666666667
Antinori                       ,91.0
Antipodean                     ,83.0
Antiquum Farm                  ,92.0
Antis                          ,86.0
Antoine et Rachel Olivier      ,87.0
Antoine Moltès & Fils          ,86.0
Antoine Simoneau               ,85.0
AntoLin Cellars                ,90.0
Antolini                       ,87.0
Anton Bauer                    ,89.1
Antonelli                      ,88.0
Antonia Gazzi                  ,88.0
Antonin Rodet                  ,86.4444444444
Antonini Ceresa                ,86.0
Antonino Tringali-Casanuova    ,87.4285714286
Antonio Cesar Cavalli          ,84.5
Antonio Lopes Ribeiro          ,89.0
Antonio Sanguineti             ,87.0
Antonopoulos                   ,87.0
Antonutti                      ,87.4
Antucura                       ,85.5
Apaltagua                      ,85.03125
Apegadas Quinta Velha          ,92.0
Apex                           ,87.7777777778
Apex II                        ,83.0
Apolloni                       ,87.5
Apollonio                      ,86.25
Apothic                        ,86.0
Appollis                       ,84.0
Apriori                        ,90.0
Aquas                          ,83.0
Aquilina                       ,89.0
Aquinas                        ,86.1428571429
Ara                            ,86.8333333333
Arachon                        ,86.0
Aragus                         ,86.0
Araldica                       ,86.8333333333
Aranleón                       ,86.0
Arauco                         ,81.5
Arbiola                        ,87.5
Arbol de Vida                  ,83.0
Arboleda                       ,86.8333333333
Arbor Brook                    ,90.3333333333
Arbor Crest                    ,88.875
Arbor Hill                     ,85.0
Arbéta                         ,86.5
Archer                         ,85.0
Archgate Cellars               ,86.6666666667
Archium                        ,87.75
Ardales                        ,84.0
Ardenvoir                      ,89.3333333333
Ardiri                         ,87.0
Ardor                          ,89.0
Areo                           ,88.0
Aresti                         ,85.0476190476
Argami                         ,85.0
Argana                         ,83.0
Arge & Tina                    ,83.25
Argento                        ,85.6315789474
Argiano                        ,89.3333333333
Argie                          ,86.5
Argillae                       ,87.1666666667
Argiolas                       ,88.3157894737
Argyle                         ,88.6
Argyros                        ,87.0
Ariano Hermanos                ,86.5
Arizona Angel                  ,83.0
Arizona Stronghold             ,88.0
Armas de Guerra                ,85.5
Armida                         ,87.8
Armilla                        ,88.0
Armstrong Family               ,84.0
Arnaldo Caprai                 ,87.25
Arnaldo Rivera                 ,87.75
Arnaud de Villeneuve           ,85.5
Arndorfer                      ,89.125
Arnoux & Fils                  ,87.0
Aromal                         ,80.0
Arrayán                        ,85.0
Arregi                         ,86.0
Arroba                         ,85.0
Arrocal                        ,84.75
Arrogant Frog                  ,85.5
Arrow Creek                    ,83.1052631579
Arrowood                       ,87.0
Arroyo                         ,85.3333333333
Arrumaco                       ,84.5714285714
Art of Earth                   ,84.0
Artadi                         ,87.4
Artemovsk                      ,83.5
Artes del Sur                  ,85.0
Artesa                         ,87.2
Artesana                       ,87.1428571429
Artezin                        ,89.4
Arthur Metz                    ,87.125
Artimino                       ,86.75
Artisan Wines DI Franz Scheider,89.4
Artner                         ,89.5
Arunda                         ,87.5
Arzuaga                        ,83.0
Arínzano                       ,85.0
As Laxas                       ,89.5
Ascencion                      ,83.0
Ascevi Luwa                    ,86.0
Ascheri                        ,89.0
Asensio                        ,83.0
Ash Hollow                     ,86.5
Ashland Vineyards              ,83.0
Ashokawna                      ,81.0
Aspaldi                        ,88.3333333333
Assolati                       ,85.0
Assuli                         ,86.5
Astoria                        ,86.4
Astorre Noti                   ,86.0
Asunto de Vino                 ,85.75
Ata Rangi                      ,88.0
Ataide da Costa Martins Seredo ,89.5
Atalaya                        ,87.8
Atalaya do Mar                 ,86.0
Atalayas de Golbán             ,86.2
Atalon                         ,92.0
Ataraxia                       ,89.0
Ataíde Semedo                  ,91.0
Athiná                         ,90.0
Atmosphere                     ,90.0
Atrea                          ,90.0
Attems                         ,86.4285714286
Attic Cellar                   ,89.0
Attilio Ghisolfi               ,87.0
Attimo                         ,84.6666666667
Attis                          ,84.5
Atwater                        ,86.6875
Atze's Corner                  ,90.5
Au Bon Climat                  ,92.0
Au Contraire                   ,93.0
Au Jus                         ,89.0
Aubry                          ,91.5
Auclair                        ,87.3333333333
Audrey et Christine Binner     ,87.0
Audubon Cellars                ,82.0
Augey                          ,85.75
August Kesseler                ,88.8
Augusta Winery                 ,84.6666666667
Auguste Bonhomme               ,87.0
Aura                           ,86.5
Auriga                         ,86.0
Aurora                         ,83.0
Aurora Cellars                 ,82.0
Auspicion                      ,84.5
Austerity                      ,85.7142857143
Austin Hope                    ,83.5
Autoritas                      ,85.5
Autumn Hill                    ,84.3333333333
AVA Grace Vineyards            ,86.25
Avalon                         ,87.0
Avancia                        ,87.3333333333
Avant                          ,88.0
Avanthia                       ,88.0
Avanzi                         ,88.0
Aveleda                        ,87.2894736842
Avelina                        ,86.5
Avenue                         ,84.0
Avery Lane                     ,85.5
Avia                           ,86.0
Avide                          ,86.5
Avignonesi                     ,87.5
Avissi                         ,86.0
Avondale                       ,90.0
Awatere River                  ,87.0
Awning                         ,88.0
Axis Mundi                     ,87.0
Ayala                          ,91.0
Aylin                          ,86.0
Aymara                         ,85.8333333333
Azabache                       ,82.0
Azamor                         ,89.0
Azelia                         ,95.0
Azienda Agricola Cogno         ,86.6666666667
Azienda Agricola Milazzo       ,83.0
B Vintners                     ,91.0
B. Lovely                      ,81.0
B.R. Cohn                      ,85.625
Babcock                        ,87.75
Babich                         ,89.0
Bacalhôa Wines of Portugal     ,86.4897959184
Baccinetti                     ,87.0
Bach                           ,87.0
Bacio della Luna               ,85.3333333333
Back Seat                      ,83.0
Backhouse                      ,83.1666666667
Backsberg                      ,86.0
Badger Hound                   ,84.0
Badger Mountain                ,86.5
Badia a Coltibuono             ,87.875
Badia di Morrona               ,84.5
Baehner Fournier               ,86.0
Baglio Curatolo Arini 1875     ,85.8571428571
Baglio del Cristo di Campobello,88.3076923077
Baglio di Pianetto             ,86.75
Bagrationi 1882                ,84.6666666667
Baileyana                      ,89.0
Bailiwick                      ,90.0
Bailli de Bourg                ,85.5
Bailli de Provence             ,84.6
Bailly-Lapierre                ,87.0
Bain's Way                     ,86.0
Baiocchi Wines                 ,90.0
Baja Tanga                     ,83.0
Baker Lane                     ,86.0
Balancing Act                  ,88.3333333333
Balboa                         ,87.75
Baldi                          ,86.0
Balduzzi                       ,85.1764705882
Balestri Valda                 ,88.5
Ballancin                      ,87.0
Ballard Lane                   ,87.0
Ballast Stone Estate Wines     ,85.0
Ballatore                      ,84.0
Ballentine                     ,86.2
Balletto                       ,88.6153846154
Balma Venitia                  ,86.6666666667
Balnaves of Coonawarra         ,91.0
Balthasar Ress                 ,90.5
Baluarte                       ,85.5
Balverne                       ,86.0
Bandini Villa Pomona           ,87.0
Bandit                         ,84.6666666667
Banear                         ,86.3333333333
Banero                         ,84.0
Banfi                          ,86.3125
Banrock Station                ,83.5
Banshee Wines                  ,85.0
Banyan                         ,88.5
Bar Dog                        ,87.0
Baracchi Riccardo              ,87.5
Barale Fratelli                ,90.4
Barba                          ,85.0
Barbed Wire                    ,89.0
Barber                         ,90.0
Barberani                      ,86.5555555556
Barbi                          ,85.3333333333
Barcino                        ,86.0
Barefoot                       ,83.875
Barefoot Bubbly                ,85.1818181818
Barefoot Cellars               ,83.5833333333
Barefoot Refresh               ,84.5
Bargetto                       ,84.5454545455
Baricci                        ,88.3333333333
Barinas                        ,86.0
Barista                        ,86.0
Barkan                         ,86.0
Barker's Marque                ,87.1333333333
Barking Sheep                  ,82.0
Barlow                         ,85.0
Barnard Griffin                ,88.15625
