variety, nocorr
Tinta Francisca,3
Trebbiano di Lugana,3
Tinta del Toro,3
Muscat of Alexandria,3
Nielluciu,3
Lambrusco Salamino,3
Viognier-Marsanne,3
Marzemino,3
Tinta Miúda,3
Gragnano,2
Rara Neagra,2
Bacchus,2
Chancellor,2
Uvalino,2
Rebo,2
Chardonnay-Albariño,2
Zlahtina,2
Tămâioasă Românească,2
Rabigato,2
Cabernet Franc-Carmenère,2
Cariñena-Garnacha,2
Cayuga,2
Freisa,2
Tinta Cao,2
Garnacha Blend,2
Cabernet Sauvignon Grenache,2
Cabernet-Shiraz,2
Portuguiser,2
Muscadine,2
Marquette,2
White Port,2
Shiraz-Tempranillo,2
Malvasia di Candia,2
Cesanese,2
Madeleine Angevine,2
Pigato,2
Viura-Verdejo,2
Blauer Portugieser,2
Rosenmuskateller,2
Durif,2
Moscato Rosa,2
Moscatel Graúdo,2
Alvarelhão,2
Kadarka,2
Saperavi-Merlot,2
Roviello,2
Cabernet Moravia,2
Tamjanika,2
Chardonnay Weissburgunder,2
Bastardo,2
Merlot-Syrah,2
Feteasca,2
Hárslevelü,2
Tinta del Pais,2
Other,2
Vespolina,2
Malbec-Tempranillo,2
Apple,2
Marsanne-Viognier,2
Black Monukka,2
Nasco,2
Sacy,2
Cabernet Franc-Lemberger,2
Maria Gomes,2
Malvar,2
Chelois,2
Sirica,2
Grignolino,2
Tempranillo-Syrah,2
Monastrell-Petit Verdot,2
Malvasia Fina,2
Cabernet Pfeffer,2
Çalkarası,2
Trollinger,2
Morio Muskat,2
Bombino Bianco,2
Baga-Touriga Nacional,2
Viognier-Gewürztraminer,2
Xynisteri,2
Ansonica,2
Rufete,2
Groppello,2
Albarossa,2
Mandilaria,2
Torbato,2
Plyto,2
Yapincak,2
Gouveio,2
Orangetraube,1
Loureiro-Arinto,1
Kuntra,1
Pinot Gris-Gewürztraminer,1
Otskhanuri Sapere,1
Biancale,1
Verdosilla,1
Ekigaïna,1
Karalahna,1
País,1
Tamianka,1
Malbec-Carménère,1
Sercial,1
Sauvignon Blanc-Assyrtiko,1
St. Vincent,1
Chardonnay-Riesling,1
Mavrotragano,1
Vital,1
Vidadillo,1
Franconia,1
Diamond,1
