winery,avg_score
Domaine la Bastide Blanche     ,91
Domaine le Virolys             ,91
Domaine les Fines Graves       ,91
Domaine les Grands Presbytères ,91
Domaine Thomas & Fils          ,91
Doran                          ,91
Duemani                        ,91
Empire Estate                  ,91
Eredi Lodali                   ,91
Fattoria Kappa                 ,91
Francis Blanchet               ,91
Freemark Abbey                 ,91
Friedrich Becker               ,91
Fuse                           ,91
Gerhard Pittnauer              ,91
Gifft                          ,91
Gigi Rosso                     ,91
Girolamo Dorigo                ,91
Giuseppe Campagnola            ,91
Guillaume Gros                 ,91
Heiss                          ,91
Henri Ehrhart                  ,91
Hensteeth                      ,91
Hilt & Blade                   ,91
Inkwell                        ,91
Innocenti                      ,91
Iris Vineyards                 ,91
J.M. da Fonseca and Van Zeller ,91
Jackson-Triggs                 ,91
Jenke                          ,91
Joh. Jos. Christoffel          ,91
Johan Joubert                  ,91
Josef Bauer                    ,91
Josef Schmid                   ,91
Kaleidos                       ,91
Kitá                           ,91
Kollwentz                      ,91
Kracher                        ,91
Kühling-Gillot                 ,91
L'Amandine                     ,91
L'Aventure                     ,91
La Fleur de Boüard             ,91
La Magia                       ,91
La Montina                     ,91
Le Morette                     ,91
Lelarge-Pugeot                 ,91
Letrari                        ,91
Llopart                        ,91
Longplay                       ,91
Luce della Vite                ,91
Marc Kreydenweiss              ,91
Mario Marengo                  ,91
Marojallia                     ,91
Mas Blanch I Jové              ,91
Mauro Molino                   ,91
Mensch                         ,91
Merry Cellars                  ,91
Mount Eden Vineyards           ,91
Mönchhof                       ,91
Nacina                         ,91
Newton Johnson                 ,91
Numanthia                      ,91
ONX                            ,91
Padelletti                     ,91
Panache Cellars                ,91
Paterna                        ,91
Pflüger                        ,91
Pinino                         ,91
Piper-Heidsieck                ,91
Podere Forte                   ,91
Porto Carras                   ,91
Proidl                         ,91
Quattroventi                   ,91
Quinta da Prelada              ,91
Quinta de Foz de Arouce        ,91
Remoissenet Père et Fils       ,91
Robert Renzoni                 ,91
Ronchi di Manzano              ,91
San Biagio                     ,91
Sanctus                        ,91
Sant Agnese dei F.lli Gigli    ,91
Sbragia                        ,91
Scarborough                    ,91
Schloss Lieser                 ,91
Schlossgut Diel                ,91
Schwarz Wein                   ,91
Sensorium                      ,91
Seresin                        ,91
Silvano Bolmida                ,91
Solminer                       ,91
Sorelle Per Sempre             ,91
Soutiran                       ,91
Stargazer Barn                 ,91
Starry Night                   ,91
Strydom                        ,91
Tascante                       ,91
Tenuta di Riseccoli            ,91
Tenuta L'Illuminata            ,91
Tenuta Santa Maria alla Pieve  ,91
Terredora Di Paolo             ,91
The Jack                       ,91
Three Bridges                  ,91
Toni Jost                      ,91
Tulip Winery                   ,91
Turchi                         ,91
Twisted Oak                    ,91
Ugo Lequio                     ,91
Vadio Wines                    ,91
Vignerons de Tavel             ,91
Villa I Cipressi               ,91
Vogelzang                      ,91
Von Donabaum                   ,91
Weingut Christ                 ,91
Westerly                       ,91
WildAire                       ,91
Willi Schaefer                 ,91
Workman Ayer                   ,91
Yohan Lardy                    ,91
Chanson Père et Fils           ,90.90909091
Prieler                        ,90.90909091
Château Olivier                ,90.9
Gruber Röschitz                ,90.9
Jean-Marc Brocard              ,90.89473684
Château Vignelaure             ,90.875
Gianfranco Bovio               ,90.85714286
Stadlmann                      ,90.84210526
Château Beaumont               ,90.83333333
Domaine de l'Ecu               ,90.83333333
Domaines Dominique Piron       ,90.83333333
Quinta das Bandeiras           ,90.83333333
Tenuta Roveglia                ,90.83333333
Anselmo Mendes                 ,90.8
Château Batailley              ,90.8
Château d'Aqueria              ,90.8
Domaine des Baumard            ,90.8
Domaine Louis Moreau           ,90.8
Nicolas Maillart               ,90.8
Nikolaihof                     ,90.8
Uwe Schiefer                   ,90.8
Waterford                      ,90.8
Pascal Doquet                  ,90.77777778
Casa Smith                     ,90.75
Castello Banfi                 ,90.75
Chateau Ste. Michelle & Dr. Loo,90.75
Château Dassault               ,90.75
Château la Clide               ,90.75
Château la Pointe              ,90.75
Château Labégorce Margaux      ,90.75
Château Tronquoy-Lalande       ,90.75
Domaine Delaporte              ,90.75
Jordan Stellenbosch            ,90.75
Lynmar                         ,90.75
Nino Franco                    ,90.75
Rocche Costamagna              ,90.75
Saracina                       ,90.75
The Eyrie Vineyards            ,90.75
Château Bouscaut               ,90.73333333
Nigl                           ,90.71428571
Soos Creek                     ,90.71428571
Henri de Villamont             ,90.68852459
Casa Anadia                    ,90.66666667
Château Brillette              ,90.66666667
Château le Prieuré             ,90.66666667
Château Les Carmes Haut-Brion  ,90.66666667
Château Meyney                 ,90.66666667
Château Romer du Hayot         ,90.66666667
Domaine Claude Branger         ,90.66666667
Domaine Nigri                  ,90.66666667
Giovanni Chiappini             ,90.66666667
Le Casematte                   ,90.66666667
Royal Tokaji                   ,90.66666667
Tenute di Vaira                ,90.66666667
Waters                         ,90.66666667
Château Rahoul                 ,90.625
Alain Brumont                  ,90.61111111
Buchegger                      ,90.6
Château Durfort-Vivens         ,90.6
Château Haut-Simard            ,90.6
Giacomo Grimaldi               ,90.6
Henriet-Bazin                  ,90.6
Palmina                        ,90.6
Château Cos Labory             ,90.57142857
Château Picque Caillou         ,90.57142857
Taylor Fladgate                ,90.57142857
Novelty Hill                   ,90.53846154
1000 Stories                   ,90.5
Atze's Corner                  ,90.5
Balthasar Ress                 ,90.5
Barons V                       ,90.5
Barrister                      ,90.5
Benanti                        ,90.5
Bernard Baudry                 ,90.5
Bethel Heights                 ,90.5
Broman                         ,90.5
Bucher                         ,90.5
Cascina Saria                  ,90.5
Castello della Paneretta       ,90.5
Cavalier Bartolomeo            ,90.5
Château Cantemerle             ,90.5
Château Certan-Marzelle        ,90.5
Château de Roquefort           ,90.5
Château de Villegeorge         ,90.5
Château Fonroque               ,90.5
Château Fontenil               ,90.5
Château Paveil de Luze         ,90.5
Château Peyrabon               ,90.5
Château Pontoise Cabarrus      ,90.5
Clos la Madeleine              ,90.5
Domaine Albert Mann            ,90.5
Domaine de la Crillonne        ,90.5
Domaine de Roche-Guillon       ,90.5
Domaine Gérard Neumeyer        ,90.5
Domaine Luneau-Papin           ,90.5
Girolate                       ,90.5
Gorman                         ,90.5
Ingrid Groiss                  ,90.5
Jerusalem Wineries             ,90.5
Kerloo                         ,90.5
La Fiorita                     ,90.5
La Follette                    ,90.5
Louis Nel                      ,90.5
Marcel Couturier               ,90.5
Máté                           ,90.5
Nauerth-Gnägy                  ,90.5
Neudorf                        ,90.5
Nicky Versfeld                 ,90.5
Once and It's Gone             ,90.5
Poggio Rubino                  ,90.5
Presqu'ile                     ,90.5
Rijk's                         ,90.5
Schloss Gobelsburg             ,90.5
Tenute Costa                   ,90.5
Tenute Sella                   ,90.5
Tornesi                        ,90.5
Türk                           ,90.5
Vilalva                        ,90.5
Wiese & Krohn                  ,90.5
Boundary Breaks                ,90.44444444
Hermann J. Wiemer              ,90.44444444
Zocker                         ,90.44444444
Bründlmayer                    ,90.42857143
Château Lynch-Moussas          ,90.42857143
Barale Fratelli                ,90.4
Château Lalande-Borie          ,90.4
Château Maucaillou             ,90.4
Duval-Leroy                    ,90.4
Lauren Ashton Cellars          ,90.4
Les Héritiers du Comte Lafon   ,90.4
Longoria                       ,90.4
Domaine Laroche                ,90.39285714
Ponzi                          ,90.38461538
Meinklang                      ,90.36363636
Château Peyros                 ,90.35714286
Andrea Oberto                  ,90.33333333
Arbor Brook                    ,90.33333333
Barone di Villagrande          ,90.33333333
Bodkin                         ,90.33333333
Bric Cenciurio                 ,90.33333333
Château Broustet               ,90.33333333
Château Cambon la Pelouse      ,90.33333333
Château d'Agassac              ,90.33333333
Château la Cabanne             ,90.33333333
Château Paloumey               ,90.33333333
Contadi Castaldi               ,90.33333333
Domaine Denis Jeandeau         ,90.33333333
Domaines Landron               ,90.33333333
J. H. Andresen                 ,90.33333333
Jamieson Canyon                ,90.33333333
Johann Donabaum                ,90.33333333
Josmeyer                       ,90.33333333
La Ganghija                    ,90.33333333
McIntyre Vineyards             ,90.33333333
Orlando Abrigo                 ,90.33333333
Richard Rottiers               ,90.33333333
Tua Rita                       ,90.33333333
Uccelliera                     ,90.33333333
Valdicava                      ,90.33333333
Vincent Sauvestre              ,90.33333333
Kanonkop                       ,90.28571429
Les Vignerons de Tavel         ,90.28571429
Southard                       ,90.28571429
Umathum                        ,90.28571429
Vigne Surrau                   ,90.28571429
Unger                          ,90.27777778
Uvaggio                        ,90.26315789
Château Citran                 ,90.25
Château Coufran                ,90.25
Château d'Angludet             ,90.25
Château de Rhodes              ,90.25
Château Sénéjac                ,90.25
Château Vincens                ,90.25
Clos Badon                     ,90.25
Domaine Bruno Clair            ,90.25
Franco Conterno                ,90.25
Poggio Mandorlo                ,90.25
Clos Venturi                   ,90.22222222
Easton                         ,90.22222222
Marangona                      ,90.22222222
Nefarious                      ,90.22222222
Pannier                        ,90.22222222
Sula                           ,90.22222222
Château Couhins-Lurton         ,90.2
Domaine de l'Arlot             ,90.2
Germano Angelo                 ,90.2
Hendry                         ,90.2
Manuel Carvalho Martins        ,90.2
Markus Molitor                 ,90.2
Paltrinieri                    ,90.2
Soléna                         ,90.2
Manfred Tement                 ,90.18181818
Carlo Giacosa                  ,90.16666667
Michele Satta                  ,90.16666667
Strehn                         ,90.16666667
Castello Romitorio             ,90.14285714
Château Siran                  ,90.14285714
1912 Winemakers                ,90.125
Château Phélan-Ségur           ,90.125
Château Latour-Martillac       ,90.1
Pecchenino                     ,90.1
Rijckaert                      ,90.1
Stift Göttweig                 ,90.1
Véronique Günther-Chereau      ,90.1
Pascal Bouchard                ,90.08695652
Elk Cove                       ,90.06666667
Abbadia Ardenga                ,90
Adega Algueira                 ,90
Adelsheim                      ,90
Agricola Punica                ,90
Alderbrook                     ,90
Alessandro Rivetto             ,90
Alpha Zeta                     ,90
Alta Maria                     ,90
Alvaro Castro                  ,90
Angove                         ,90
Ansgar Clüsserath              ,90
Antichi Vigneti di Cantalupo   ,90
AntoLin Cellars                ,90
Apriori                        ,90
Athiná                         ,90
Atmosphere                     ,90
Atrea                          ,90
Avondale                       ,90
Bailiwick                      ,90
Baiocchi Wines                 ,90
Barber                         ,90
Barrel Ranch                   ,90
Barrymore by Carmel Road       ,90
Bejot Vins et Terroirs         ,90
Belharra                       ,90
Benoît Girard                  ,90
Benvenuti                      ,90
Bessa                          ,90
Björnson                       ,90
Bodega Chacra                  ,90
Bodegas Eidosela               ,90
Bodegas Imperiales             ,90
Bokisch                        ,90
Boneshaker                     ,90
Boude Baudin                   ,90
Box O'Birds                    ,90
Bracamonte                     ,90
Brandini                       ,90
Brian Carter Cellars           ,90
Brigadoon                      ,90
Bruno Cormerais                ,90
Buondonno                      ,90
Béres                          ,90
Cambiata                       ,90
Campo alla Sughera             ,90
Campo alle Comete              ,90
Cantina Giardino               ,90
Cantine di Marzo               ,90
Capannelle                     ,90
Casa Gran del Siurana          ,90
Casa Santa Eufemia             ,90
Casal Novo                     ,90
Cascadia                       ,90
Cascina Alberta                ,90
Cascina del Monastero          ,90
Cascina Guido Berta            ,90
Cascina Liuzzi                 ,90
Caspari-Kappel                 ,90
Castellinuzza e Piuca          ,90
Castelvecchi                   ,90
Castro Brey                    ,90
Cave des Producteurs de Juranço,90
Cellers Sant Rafel             ,90
Charles Cimicky                ,90
Chateau de Manissy             ,90
Cheviot Bridge                 ,90
Church Road                    ,90
Château Barreyre               ,90
Château Bel-Air Ouÿ            ,90
Château Belle Coline           ,90
Château Bonalgue               ,90
Château Bégadanet              ,90
Château Camelot la Chapelle    ,90
Château Camensac               ,90
Château Cantelys               ,90
Château Chemin-Royal           ,90
Château Clarke                 ,90
Château Cormeil-Figeac         ,90
Château d'Aiguilhe             ,90
Château d'Antugnac             ,90
Château d'Aurilhac             ,90
Château de Camensac            ,90
Château de Corbiac             ,90
Château de Gayon               ,90
Château de la Liquiere         ,90
Château de Pitray              ,90
Château des Bertrands          ,90
Château des Ravatys            ,90
Château Deyrem Valentin        ,90
Château du Domaine de l'Eglise ,90
Château du Pitray              ,90
Château du Prieuré des Mourgues,90
Château Favray                 ,90
Château Fleur Cardinale        ,90
Château Fonguillon             ,90
Château Gautoul                ,90
Château Grand Barrail Lamarzell,90
Château Haut-Francarney        ,90
Château Haut-Peyrous           ,90
