,variety,year,price,points,priceq,country
213,Black Muscat,1998,25.0,92,3.0,US
214,Black Muscat,2008,24.0,86,3.0,US
215,Black Muscat,2009,10.0,88,0.0,US
216,Black Muscat,2010,21.0,92,2.0,US
217,Black Muscat,2014,22.0,91,2.0,US
218,Blanc du Bois,2011,40.0,85,4.0,US
219,Blanc du Bois,2012,23.0,87,2.0,US
220,Blanc du Bois,2013,26.0,84,3.0,US
221,Blanc du Bois,2014,21.0,84,2.0,US
222,Blatina,2011,12.0,88,0.0,Bosnia and Herzegovina
223,Blauburger,2008,17.0,87,1.0,Hungary
224,Blauburgunder,2015,19.0,93,1.0,Austria
225,Blauer Portugieser,2011,15.0,86,0.0,Hungary
226,Blauer Portugieser,2012,16.0,87,1.0,Serbia
227,Bobal,-1,46.0,87,5.0,Spain
228,Bobal,2004,20.0,85,2.0,Spain
229,Bobal,2009,13.0,86,0.0,Spain
230,Bobal,2010,13.0,80,0.0,Spain
231,Bobal,2012,18.75,87,1.0,Spain
232,Bobal,2013,15.5,84,1.0,Spain
233,Bobal,2015,13.0,85,0.0,Spain
234,Bobal-Cabernet Sauvignon,2015,9.0,84,0.0,Spain
235,Bombino Bianco,2009,,86,,Italy
236,Bombino Bianco,2011,30.0,88,3.0,Italy
237,Bombino Nero,2007,11.0,87,0.0,Italy
238,Bonarda,2005,12.0,83,0.0,Argentina
239,Bonarda,2006,13.75,85,0.0,Argentina
240,Bonarda,2007,13.1111111111,85,0.0,Argentina
241,Bonarda,2008,15.4,85,1.0,Argentina
242,Bonarda,2009,14.916666666700001,86,0.0,Argentina
243,Bonarda,2010,17.3076923077,86,1.0,Argentina
244,Bonarda,2012,18.8235294118,86,1.0,Argentina
245,Bonarda,2013,20.111111111099998,85,2.0,Argentina
246,Bonarda,2015,15.8,86,1.0,Argentina
247,Bonarda,2016,14.0,88,0.0,Argentina
248,Bordeaux-style Red Blend,-1,33.5,86,4.0,US
249,Bordeaux-style Red Blend,-1,33.5,86,4.0,Brazil
250,Bordeaux-style Red Blend,1840,75.0,91,5.0,US
251,Bordeaux-style Red Blend,1856,36.0,87,4.0,US
252,Bordeaux-style Red Blend,1994,21.0,85,2.0,Chile
253,Bordeaux-style Red Blend,1995,15.0,86,0.0,France
254,Bordeaux-style Red Blend,1996,35.0,86,4.0,France
255,Bordeaux-style Red Blend,1997,58.36,89,5.0,US
256,Bordeaux-style Red Blend,1999,37.1111111111,87,4.0,France
257,Bordeaux-style Red Blend,1999,37.1111111111,87,4.0,South Africa
258,Bordeaux-style Red Blend,2000,63.292682926800005,90,5.0,France
259,Bordeaux-style Red Blend,2000,63.292682926800005,90,5.0,US
260,Bordeaux-style Red Blend,2002,24.3333333333,87,3.0,US
261,Bordeaux-style Red Blend,2003,50.891891891899995,87,5.0,France
262,Bordeaux-style Red Blend,2003,50.891891891899995,87,5.0,US
263,Bordeaux-style Red Blend,2003,50.891891891899995,87,5.0,South Africa
264,Bordeaux-style Red Blend,2004,52.393939393900006,88,5.0,US
265,Bordeaux-style Red Blend,2004,52.393939393900006,88,5.0,France
266,Bordeaux-style Red Blend,2004,52.393939393900006,88,5.0,South Africa
267,Bordeaux-style Red Blend,2005,58.0636942675,89,5.0,France
268,Bordeaux-style Red Blend,2005,58.0636942675,89,5.0,US
269,Bordeaux-style Red Blend,2006,55.127906976700004,89,5.0,US
270,Bordeaux-style Red Blend,2006,55.127906976700004,89,5.0,Chile
271,Bordeaux-style Red Blend,2006,55.127906976700004,89,5.0,France
272,Bordeaux-style Red Blend,2006,55.127906976700004,89,5.0,Australia
