variety,year,price,points,priceq
Azal                      ,2013,13.0,85,0.0
Azal                      ,2015,15.0,86,0.0
BabiÄ                    ,2009,41.3333333333,88,5.0
BabiÄ                    ,2011,16.0,88,1.0
Babosa Negro              ,2015,45.0,92,5.0
Bacchus                   ,2015,,91,
Baco Noir                 ,2000,35.0,87,4.0
Baco Noir                 ,2006,36.0,89,4.0
Baco Noir                 ,2008,26.0,85,3.0
Baco Noir                 ,2009,24.0,84,3.0
Baco Noir                 ,2010,22.0,86,2.0
Baco Noir                 ,2012,28.0,83,3.0
Baco Noir                 ,2013,24.0,84,3.0
Baco Noir                 ,2014,25.0,89,3.0
Baga                      ,-1,12.0,86,0.0
Baga                      ,2004,14.0,88,0.0
Baga                      ,2005,35.0,88,4.0
Baga                      ,2007,70.0,93,5.0
Baga                      ,2009,67.0,90,5.0
Baga                      ,2010,26.75,89,3.0
Baga                      ,2011,32.75,90,4.0
Baga                      ,2012,31.3333333333,90,4.0
Baga                      ,2013,41.0,90,5.0
Baga                      ,2015,20.0,91,2.0
Baga-Touriga Nacional     ,2010,40.0,91,4.0
Barbera                   ,-1,21.5,87,2.0
Barbera                   ,1870,,86,
Barbera                   ,1998,10.0,84,0.0
Barbera                   ,2001,19.0,84,1.0
Barbera                   ,2003,28.6,87,3.0
Barbera                   ,2004,29.818181818200003,86,3.0
Barbera                   ,2005,24.2962962963,86,3.0
Barbera                   ,2006,26.7179487179,87,3.0
Barbera                   ,2007,25.0634920635,87,3.0
Barbera                   ,2008,22.775510204099998,86,2.0
Barbera                   ,2009,24.8214285714,87,3.0
Barbera                   ,2010,28.15,86,3.0
Barbera                   ,2011,27.568627450999998,87,3.0
Barbera                   ,2012,28.185185185199998,88,3.0
Barbera                   ,2013,27.887755102,88,3.0
Barbera                   ,2014,26.8064516129,88,3.0
Barbera                   ,2015,22.630434782600002,88,2.0
Barbera                   ,2016,17.0,87,1.0
Barbera-Nebbiolo          ,2010,30.0,87,3.0
Bastardo                  ,-1,9.0,85,0.0
Bastardo                  ,2014,32.0,86,4.0
Biancale                  ,2007,18.0,85,1.0
Biancolella               ,2007,26.0,85,3.0
Biancu Gentile            ,2016,,89,
Bical                     ,2006,15.0,86,0.0
Bical                     ,2007,9.0,87,0.0
Bical                     ,2008,9.0,85,0.0
Bical                     ,2010,15.0,84,0.0
Bical                     ,2011,28.0,86,3.0
Bical                     ,2012,18.5,85,1.0
Bical                     ,2014,12.0,86,0.0
Bical                     ,2015,19.0,89,1.0
Bical                     ,2016,8.0,88,0.0
Black Monukka             ,-1,25.0,91,3.0
Black Muscat              ,-1,45.0,87,5.0
Black Muscat              ,1998,25.0,92,3.0
Black Muscat              ,2001,13.0,86,0.0
Black Muscat              ,2008,24.0,86,3.0
Black Muscat              ,2009,10.0,88,0.0
Black Muscat              ,2010,21.0,92,2.0
Black Muscat              ,2012,27.5,86,3.0
Black Muscat              ,2014,22.0,91,2.0
Blanc du Bois             ,2011,40.0,85,4.0
Blanc du Bois             ,2012,23.0,87,2.0
Blanc du Bois             ,2013,26.0,84,3.0
Blanc du Bois             ,2014,21.0,84,2.0
Blatina                   ,2011,12.0,88,0.0
Blauburger                ,2008,17.0,87,1.0
Blauburgunder             ,2015,19.0,93,1.0
Blauer Portugieser        ,2011,15.0,86,0.0
Blauer Portugieser        ,2012,16.0,87,1.0
BlaufrĂ¤nkisch            ,-1,19.5,89,1.0
BlaufrĂ¤nkisch            ,2003,,89,
BlaufrĂ¤nkisch            ,2004,17.0,87,1.0
BlaufrĂ¤nkisch            ,2005,35.0,89,4.0
BlaufrĂ¤nkisch            ,2006,26.1111111111,87,3.0
BlaufrĂ¤nkisch            ,2007,16.444444444400002,87,1.0
BlaufrĂ¤nkisch            ,2008,49.25,87,5.0
BlaufrĂ¤nkisch            ,2009,30.555555555599998,89,4.0
BlaufrĂ¤nkisch            ,2010,37.4285714286,89,4.0
BlaufrĂ¤nkisch            ,2011,39.4285714286,89,4.0
BlaufrĂ¤nkisch            ,2012,40.3428571429,90,5.0
BlaufrĂ¤nkisch            ,2013,35.027777777800004,91,4.0
BlaufrĂ¤nkisch            ,2014,24.8571428571,90,3.0
BlaufrĂ¤nkisch            ,2015,19.5454545455,90,1.0
BlaufrĂ¤nkisch            ,2016,19.0,88,1.0
Bobal                     ,-1,46.0,87,5.0
Bobal                     ,2003,14.0,85,0.0
Bobal                     ,2004,20.0,85,2.0
Bobal                     ,2009,13.0,86,0.0
Bobal                     ,2010,13.0,80,0.0
