variety,year,price,points
Avesso                    ,2015,12.0,88
Avesso                    ,2016,13.0,88
Azal                      ,2010,13.0,87
Azal                      ,2013,13.0,85
Azal                      ,2015,15.0,86
Babić                    ,2009,41.3333333333,88
Babić                    ,2011,16.0,88
Babosa Negro              ,2015,45.0,92
Bacchus                   ,2015,,91
Baco Noir                 ,2000,35.0,87
Baco Noir                 ,2006,36.0,89
Baco Noir                 ,2008,26.0,85
Baco Noir                 ,2009,24.0,84
Baco Noir                 ,2010,22.0,86
Baco Noir                 ,2012,28.0,83
Baco Noir                 ,2013,24.0,84
Baco Noir                 ,2014,25.0,89
Baga                      ,-1,12.0,86
Baga                      ,2004,14.0,88
Baga                      ,2005,35.0,88
Baga                      ,2007,70.0,93
Baga                      ,2009,67.0,90
Baga                      ,2010,26.75,89
Baga                      ,2011,32.75,90
Baga                      ,2012,31.3333333333,90
Baga                      ,2013,41.0,90
Baga                      ,2015,20.0,91
Baga-Touriga Nacional     ,2010,40.0,91
Barbera                   ,-1,21.5,87
Barbera                   ,1870,,86
Barbera                   ,1998,10.0,84
Barbera                   ,2001,19.0,84
Barbera                   ,2003,28.6,87
Barbera                   ,2004,29.8181818182,86
Barbera                   ,2005,24.2962962963,86
Barbera                   ,2006,26.7179487179,87
Barbera                   ,2007,25.0634920635,87
Barbera                   ,2008,22.7755102041,86
Barbera                   ,2009,24.8214285714,87
Barbera                   ,2010,28.15,86
Barbera                   ,2011,27.568627451,87
Barbera                   ,2012,28.1851851852,88
Barbera                   ,2013,27.887755102,88
Barbera                   ,2014,26.8064516129,88
Barbera                   ,2015,22.6304347826,88
Barbera                   ,2016,17.0,87
Barbera-Nebbiolo          ,2010,30.0,87
Bastardo                  ,-1,9.0,85
Bastardo                  ,2014,32.0,86
Biancale                  ,2007,18.0,85
Biancolella               ,2007,26.0,85
Biancu Gentile            ,2016,,89
Bical                     ,2006,15.0,86
Bical                     ,2007,9.0,87
Bical                     ,2008,9.0,85
Bical                     ,2010,15.0,84
Bical                     ,2011,28.0,86
Bical                     ,2012,18.5,85
Bical                     ,2014,12.0,86
Bical                     ,2015,19.0,89
Bical                     ,2016,8.0,88
Black Monukka             ,-1,25.0,91
Black Muscat              ,-1,45.0,87
Black Muscat              ,1998,25.0,92
Black Muscat              ,2001,13.0,86
Black Muscat              ,2008,24.0,86
Black Muscat              ,2009,10.0,88
Black Muscat              ,2010,21.0,92
Black Muscat              ,2012,27.5,86
Black Muscat              ,2014,22.0,91
Blanc du Bois             ,2011,40.0,85
Blanc du Bois             ,2012,23.0,87
Blanc du Bois             ,2013,26.0,84
Blanc du Bois             ,2014,21.0,84
Blatina                   ,2011,12.0,88
Blauburger                ,2008,17.0,87
Blauburgunder             ,2015,19.0,93
Blauer Portugieser        ,2011,15.0,86
Blauer Portugieser        ,2012,16.0,87
Blaufränkisch            ,-1,19.5,89
Blaufränkisch            ,2003,,89
Blaufränkisch            ,2004,17.0,87
Blaufränkisch            ,2005,35.0,89
Blaufränkisch            ,2006,26.1111111111,87
Blaufränkisch            ,2007,16.4444444444,87
Blaufränkisch            ,2008,49.25,87
Blaufränkisch            ,2009,30.5555555556,89
Blaufränkisch            ,2010,37.4285714286,89
Blaufränkisch            ,2011,39.4285714286,89
Blaufränkisch            ,2012,40.3428571429,90
Blaufränkisch            ,2013,35.0277777778,91
Blaufränkisch            ,2014,24.8571428571,90
Blaufränkisch            ,2015,19.5454545455,90
Blaufränkisch            ,2016,19.0,88
Bobal                     ,-1,46.0,87
Bobal                     ,2003,14.0,85
Bobal                     ,2004,20.0,85
Bobal                     ,2009,13.0,86
Bobal                     ,2010,13.0,80
Bobal                     ,2011,57.5,90
Bobal                     ,2012,18.75,87
Bobal                     ,2013,15.5,84
Bobal                     ,2014,12.75,85
Bobal                     ,2015,13.0,85
Bobal-Cabernet Sauvignon  ,2015,9.0,84
Bombino Bianco            ,2009,,86
Bombino Bianco            ,2011,30.0,88
Bombino Nero              ,2007,11.0,87
Bonarda                   ,2005,12.0,83
Bonarda                   ,2006,13.75,85
Bonarda                   ,2007,13.1111111111,85
Bonarda                   ,2008,15.4,85
Bonarda                   ,2009,14.9166666667,86
Bonarda                   ,2010,17.3076923077,86
Bonarda                   ,2011,16.3333333333,87
Bonarda                   ,2012,18.8235294118,86
Bonarda                   ,2013,20.1111111111,85
Bonarda                   ,2014,18.1666666667,87
Bonarda                   ,2015,15.8,86
Bonarda                   ,2016,14.0,88
Bordeaux-style Red Blend  ,-1,33.5,86
Bordeaux-style Red Blend  ,1840,75.0,91
